Key,Desc,Default,French
Workshop is where all the mods you subscribed to from the Steam Workshop is located.,,Workshop is where all the mods you subscribed to from the Steam Workshop is located.,Le Workshop est là où tous les mods auxquels vous vous êtes abonné à partir de Steam sont situés.
WorkshopTitle,,Workshop Title,Titre du Workshop
Would you like to play the quick Tutorial?,,Would you like to play the quick Tutorial?,Voulez-vous faire un rapide Tutoriel ?
Wyvern,,Wyvern,Wyvern
Yellow,,Yellow,Jaune
Yes,,Yes,Oui
You are a natural! Now let's roll some dice.,,You are a natural! Now let's roll some dice.,"Vous êtes un naturel ! Maintenant, nous allons rouler des dés."
You can adjust the lighting to give directional sun light and ambient light.,,You can adjust the lighting to give directional sun light and ambient light.,Vous pouvez régler l'éclairage pour donner la lumière du soleil directionnel et la lumière ambiante.
You can also grab more than one object by (Left Click) dragging a box selection.,,"You can also grab more than one object by
<Left Click> dragging a box selection.","Vous pouvez également saisir plus d'un objet avec
<Clic gauche> en faisant glisser la zone de sélection."
You can also grab more than one object by (Right Bumper) dragging a box selection.,,"You can also grab more than one object by
<Right Bumper> dragging a box selection.","Vous pouvez également saisir plus d'un objet avec
<Bumper Droit> en faisant glisser la zone de sélection."
You can also hide individual parts of the UI in the Configuration UI menu.,,You can also hide individual parts of the UI in the Configuration/UI menu.,Vous pouvez également masquer différentes parties de l'interface utilisateur dans le menu Configuration / interface utilisateur.
You can change the permissions for other players. These are global settings that persist between saves.,,You can change the permissions for other players. These are global settings that persist between saves.,Vous pouvez modifier les autorisations pour d'autres joueurs. Ce sont des paramètres globaux qui persistent entre sauve.
You can change the physic mode of the game and update the gravity and room size per game.,,You can change the physic mode of the game and update the gravity and room size per game.,Vous pouvez modifier la physique du jeu et mettre à jour la gravité et la taille de l'aire de jeu.
You can change the tags of the game used to search in-game and in the Steam Workshop.,,You can change the tags of the game used to search in-game and in the Steam Workshop.,Vous pouvez modifier les balises du jeu utilisé pour la recherche dans le jeu et dans la vapeur atelier.
You can grab more than one object by ({0}) dragging a box selection.,,"You can grab more than one object by
<{0}> dragging a box selection.","Vous pouvez saisir plus d'un objet par
<{0}> glisser une sélection de la boîte."
You can grab more than one object by Long pressing on multiple objects in a row.,,"You can grab more than one object by
Long pressing on multiple objects in a row.","Vous pouvez saisir plus d'un objet par
Une longue pression sur plusieurs objets dans une rangée."
"You can update the server name, password and max players in real time.",,"You can update the server name, password and max players in real time.","Vous pouvez mettre à jour le nom du serveur, mot de passe et les joueurs max en temps réel."
You can use the (Right Trigger) and (Left Trigger) to zoom in and out.,,You can use the <Right Trigger> and <Left Trigger> to zoom in and out.,Vous pouvez utiliser <Gâchette droite> et <Trigger gauche> pour zoomer et dézoomer.
You can use the (Scroll Wheel) or (Z) to toggle zoom.,,You can use the <Scroll Wheel> or <Z> to toggle zoom.,Vous pouvez utiliser <molette de défilement> ou <Z>.
"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .",,"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .","Vous pouvez utiliser la molette de défilement pour zoomer et dézoomer et et de faire pivoter l'objet zoomé. Ceci ne fonctionne que sur des objets. Pour afficher des cartes, des plateaux, etc., utilisez la commande Loupe dans la section avancée. Pour voir l'autre côté d'un objet, maintenez la touche +."
"You must be in a game to use this. In the GAME tab, type color message to talk to someone privately. For example: blue What should I do?",,"You must be in a game to use this. In the GAME tab, type /color message to talk to someone privately. For example: /blue What should I do?","Vous devez être dans un jeu pour l'utiliser. Dans l'onglet JEU, écrivez un message de type '/color<message>' pour parler à quelqu'un en privé. Par exemple: '/pink Alliance ?'"
"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type msg name message. For example: msg Kimikat Hello!",,"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type /msg name message. For example: /msg Kimikat Hello!","Vous devez avoir IRC activé dans vos paramètres chat. Dans l'onglet GLOBAL, vous pouvez message privé toute personne qui est connecté à chat global. '/msg <nom> <message>'. Par exemple: '/msg Tenebrosful ^_^/ '"
"You still need to go to your workshop page, upload some screenshots, and make the mod public.",,"You still need to go to your workshop page, upload some screenshots, and make the mod public.","Vous avez encore besoin d'aller à votre page d'atelier, télécharger quelques captures d'écran, et rendre public mod."
You will need to flip it with (F) so it stacks. Then drop the card on the deck.,,"You will need to flip it with <F> so it stacks.
Then drop the card on the deck.",Retournez la avec <F> puis placez là au dessus.
You will need to flip it with (Pad Up) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <Pad Up> so it stacks.
Then drop the card on top of the deck.",Retournez la avec <Pad Haut> puis placez là au dessus.
You will need to flip it with (X) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <X> so it stacks.
Then drop the card on top of the deck.",Retournez la avec <X> puis placez là au dessus.
You will need to flip it with double tap so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with double tap so it stacks.
Then drop the card on top of the deck.",Retournez la avec <Double Tap> puis placez là au dessus.
Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),,Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),Votre téléchargement à l'atelier a été un succès! Conservez ce numéro de mettre à jour le mod dans le futur. (Peut également être trouvée dans l'URL de votre mod)
Zone,,Zone,Zone
Zones,,Zones,Zones
Zoom,,Zoom,Zoom
Zoom In,,Zoom In,Zoomer
Zoom In - Rotate Right,,Zoom In / Rotate Right,Zoom avant / Rotation à droite
Zoom Object,,Zoom Object,Zoom Objet
Zoom Object (Hold) - Contextual (Click),,Zoom Object (Hold) / Contextual (Click),Zoom Object (Hold) / contextuel (clic)
Zoom Out,,Zoom Out,Dézoomer
Zoom Out - Rotate Left,,Zoom Out / Rotate Left,Zoom arrière / Rotation à gauche
Zoom Toggle,,Zoom Toggle,Zoomer/Dézoomer
Zoom in-out,,Zoom in/out,Zoom
Zoom time!,,Zoom time!,Il est temps de zoomer !
_Author,Tenebrosful,,
combinelong,,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing.  The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.","L'outil Combine est un outil où vous pouvez lier des objets ensemble. Pour les objets Délier, cliquez sur l'objet combiné d'origine et un lien vers rien. La moissonneuse-batteuse outil est idéal pour faire des cadrans, des roues, des tables de roulette et même simplement coller des objets ensemble."
decallong,,"The decal tool can be used to make card stickers, bullet holes, or other effects that need transparency. +/- to scale size. Q/E to rotate.","L'outil autocollant peut être utilisé pour faire des autocollants de cartes, de balles ou d'autres effets que la transparence nécessaire. +/- à l'échelle de taille. Q / E à tourner."
